HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,OTHER,,"562,516","$33,504,583","$26,078,648"
,TOTAL,,"563,698","$33,938,666","$26,423,531"
11043,SG,,367,"$132,365","$105,166"
,80'S,,24,$409,$328
,OTHER,,"131,646","$18,753,458","$14,842,188"
,TOTAL,,"132,037","$18,886,232","$14,947,681"
11044,SG,,332,"$115,599","$92,310"
,80'S,,14,$323,$258
,OTHER,,"43,369","$8,046,827","$6,374,228"
,TOTAL,,"43,715","$8,162,750","$6,466,796"
11055,OTHER,,"431,529","$9,090,139","$6,608,420"
,TOTAL,,"431,529","$9,090,139","$6,608,420"
11056,OTHER,,"882,581","$25,383,222","$18,495,955"
,TOTAL,,"882,581","$25,383,222","$18,495,955"
11057,OTHER,,"182,714","$5,801,021","$4,201,031"
,TOTAL,,"182,714","$5,801,021","$4,201,031"
11100,80'S,,1,$4,$3
,OTHER,,"1,417,541","$91,380,247","$67,022,171"
,TOTAL,,"1,417,542","$91,380,250","$67,022,174"
11101,OTHER,,"556,173","$18,485,814","$14,427,817"
,TOTAL,,"556,173","$18,485,814","$14,427,817"
11200,SG,,9,"$2,955","$2,313"
,80'S,,1,$3,$3
,OTHER,,"113,939","$5,698,640","$3,965,201"
,TOTAL,,"113,949","$5,701,598","$3,967,516"
11201,OTHER,,"14,340","$281,910","$212,579"
,TOTAL,,"14,340","$281,910","$212,579"
11300,OTHER,,"81,497","$2,576,610","$1,880,580"
,TOTAL,,"81,497","$2,576,610","$1,880,580"
11301,OTHER,,"146,486","$7,366,950","$5,446,996"
,TOTAL,,"146,486","$7,366,950","$5,446,996"
11302,OTHER,,"89,255","$6,022,015","$4,506,964"
,TOTAL,,"89,255","$6,022,015","$4,506,964"
11303,OTHER,,"15,268","$1,340,070","$1,004,528"
,TOTAL,,"15,268","$1,340,070","$1,004,528"
11305,80'S,,1,$3,$2
,OTHER,,"92,309","$3,788,325","$2,744,935"
,TOTAL,,"92,310","$3,788,328","$2,744,938"
11306,OTHER,,"81,482","$4,780,222","$3,534,372"
,TOTAL,,"81,482","$4,780,222","$3,534,372"
11307,OTHER,,"37,698","$2,675,101","$2,007,957"
,TOTAL,,"37,698","$2,675,101","$2,007,957"
11308,80'S,,1,$5,$4
,OTHER,,"8,234","$761,159","$574,681"
,TOTAL,,"8,235","$761,164","$574,685"
11310,OTHER,,"98,117","$4,480,116","$3,273,528"
,TOTAL,,"98,117","$4,480,116","$3,273,528"
11311,OTHER,,"121,255","$7,767,056","$5,748,516"
,TOTAL,,"121,255","$7,767,056","$5,748,516"
11312,OTHER,,"51,565","$4,071,265","$3,047,876"
,TOTAL,,"51,565","$4,071,265","$3,047,876"
11313,OTHER,,"7,259","$776,475","$587,794"
,TOTAL,,"7,259","$776,475","$587,794"
11400,80'S,,1,$9,$8
,OTHER,,"65,091","$4,456,252","$3,292,633"
,TOTAL,,"65,092","$4,456,262","$3,292,640"
11401,SG,,1,$159,$127
,OTHER,,"104,676","$8,713,846","$6,522,550"
,TOTAL,,"104,677","$8,714,005","$6,522,677"
11402,SG,,18,"$4,739","$3,711"
,80'S,,1,$7,$6
,OTHER,,"110,654","$10,733,141","$8,108,874"
,TOTAL,,"110,673","$10,737,888","$8,112,591"
11403,SG,,11,"$2,821","$2,257"
,OTHER,,"49,363","$5,778,352","$4,393,369"
,TOTAL,,"49,374","$5,781,173","$4,395,627"
11404,SG,,982,"$265,580","$210,249"
,OTHER,,"19,723","$2,523,526","$1,932,813"
,TOTAL,,"20,705","$2,789,107","$2,143,063"
11406,SG,,"1,164","$444,071","$351,079"
,OTHER,,"21,296","$3,552,531","$2,761,067"
,TOTAL,,"22,460","$3,996,602","$3,112,146"
11420,SG,,1,$309,$248
,80'S,,1,$5,$4
,OTHER,,"40,777","$2,783,737","$2,059,098"
,TOTAL,,"40,779","$2,784,052","$2,059,350"
11421,SG,,7,"$1,935","$1,548"
,OTHER,,"50,120","$4,511,028","$3,372,451"
,TOTAL,,"50,127","$4,512,963","$3,374,000"
11422,SG,,5,"$1,634","$1,308"
,OTHER,,"48,549","$5,057,741","$3,812,983"
,TOTAL,,"48,554","$5,059,376","$3,814,290"
11423,SG,,13,"$3,342","$2,594"
,OTHER,,"19,653","$2,520,984","$1,918,021"
,TOTAL,,"19,666","$2,524,327","$1,920,615"
11424,SG,,588,"$218,617","$172,655"
,OTHER,,"6,560","$977,922","$752,328"
,TOTAL,,"7,148","$1,196,539","$924,984"
11426,SG,,347,"$131,492","$104,351"
,80'S,,1,$37,$29
,OTHER,,"5,247","$1,098,144","$854,455"
,TOTAL,,"5,595","$1,229,672","$958,836"
11440,SG,,1,$58,$47
,OTHER,,"82,406","$6,559,244","$4,875,316"
,TOTAL,,"82,407","$6,559,302","$4,875,362"
11441,SG,,1,$71,$57
,OTHER,,"83,298","$8,321,052","$6,273,470"
,TOTAL,,"83,299","$8,321,123","$6,273,526"
11442,SG,,14,"$2,956","$2,285"
,OTHER,,"57,226","$6,396,773","$4,859,568"
,TOTAL,,"57,240","$6,399,729","$4,861,853"
11443,SG,,16,"$5,006","$4,005"
,OTHER,,"16,076","$2,359,043","$1,821,068"
,TOTAL,,"16,092","$2,364,049","$1,825,072"
11444,SG,,538,"$139,147","$110,191"
,OTHER,,"4,578","$857,520","$667,016"
,TOTAL,,"5,116","$996,667","$777,207"
11446,SG,,224,"$82,371","$65,531"
,80'S,,1,$47,$38
,OTHER,,"3,332","$822,921","$644,476"
,TOTAL,,"3,557","$905,339","$710,045"
11450,SG,,40,"$16,509","$13,127"
,OTHER,,610,"$105,953","$82,051"
,TOTAL,,650,"$122,462","$95,178"
11451,SG,,7,"$2,895","$2,316"
,OTHER,,275,"$42,960","$33,563"
,TOTAL,,282,"$45,855","$35,879"
11462,SG,,8,"$3,249","$2,600"
,OTHER,,270,"$40,136","$31,685"
,TOTAL,,278,"$43,386","$34,284"
11463,SG,,2,$648,$519
,OTHER,,97,"$18,604","$14,666"
,TOTAL,,99,"$19,253","$15,185"
11470,SG,,11,"$4,011","$3,209"
,OTHER,,367,"$71,887","$55,727"
,TOTAL,,378,"$75,898","$58,936"
11471,SG,,34,"$13,991","$10,938"
,80'S,,1,$22,$18
,OTHER,,134,"$30,695","$23,800"
,TOTAL,,169,"$44,709","$34,756"
11600,OTHER,,"12,635","$1,165,179","$885,503"
,TOTAL,,"12,635","$1,165,179","$885,503"
11601,SG,,3,$464,$371
,OTHER,,"54,504","$6,053,823","$4,662,243"
,TOTAL,,"54,507","$6,054,287","$4,662,615"
11602,SG,,12,"$2,642","$1,987"
,80'S,,1,$11,$9
,OTHER,,"89,383","$10,853,933","$8,398,572"
,TOTAL,,"89,396","$10,856,586","$8,400,568"
11603,SG,,14,"$3,530","$2,824"
,80'S,,1,$12,$10
,OTHER,,"36,612","$5,488,120","$4,272,877"
,TOTAL,,"36,627","$5,491,662","$4,275,711"
11604,SG,,525,"$177,169","$140,381"
,80'S,,3,$39,$21
,OTHER,,"15,218","$2,470,055","$1,931,758"
,TOTAL,,"15,746","$2,647,263","$2,072,160"
11606,SG,,600,"$215,887","$171,573"
,80'S,,5,$136,$109
,OTHER,,"14,949","$3,199,550","$2,523,346"
,TOTAL,,"15,554","$3,415,574","$2,695,028"
11620,SG,,4,$623,$498
,OTHER,,"7,506","$684,301","$519,984"
,TOTAL,,"7,510","$684,924","$520,482"
11621,OTHER,,"29,344","$3,367,491","$2,595,504"
,TOTAL,,"29,344","$3,367,491","$2,595,504"
11622,SG,,12,"$2,541","$1,699"
,OTHER,,"40,846","$6,012,600","$4,664,470"
,TOTAL,,"40,858","$6,015,140","$4,666,169"
11623,SG,,7,"$1,688","$1,350"
,OTHER,,"15,470","$2,644,322","$2,061,023"
,TOTAL,,"15,477","$2,646,010","$2,062,373"
11624,SG,,327,"$113,220","$89,540"
,OTHER,,"5,887","$1,146,381","$899,564"
,TOTAL,,"6,214","$1,259,601","$989,104"
11626,SG,,227,"$74,096","$58,937"
,80'S,,5,$116,$93
,OTHER,,"4,750","$1,119,559","$883,628"
,TOTAL,,"4,982","$1,193,772","$942,658"
11640,SG,,8,"$1,908","$1,526"
,OTHER,,"45,514","$4,722,863","$3,604,638"
,TOTAL,,"45,522","$4,724,770","$3,606,164"
11641,SG,,18,"$3,444","$2,755"
,OTHER,,"120,935","$17,826,728","$13,802,506"
,TOTAL,,"120,953","$17,830,172","$13,805,261"
11642,SG,,32,"$7,258","$5,763"
,80'S,,1,$14,$12
,OTHER,,"118,076","$20,459,189","$15,933,953"
,TOTAL,,"118,109","$20,466,462","$15,939,728"
11643,SG,,13,"$2,853","$2,166"
,80'S,,1,$19,$15
,OTHER,,"36,343","$7,181,350","$5,628,813"
,TOTAL,,"36,357","$7,184,222","$5,630,994"
11644,SG,,934,"$313,357","$248,354"
,OTHER,,"12,502","$2,992,266","$2,353,504"
,TOTAL,,"13,436","$3,305,623","$2,601,858"
11646,SG,,453,"$144,680","$114,917"
,OTHER,,"7,870","$2,562,626","$2,028,487"
,TOTAL,,"8,323","$2,707,306","$2,143,404"
11719,OTHER,,"1,052,767","$13,323,129","$9,766,143"
,TOTAL,,"1,052,767","$13,323,129","$9,766,143"
11720,OTHER,,"1,289,155","$33,558,520","$24,327,348"
,TOTAL,,"1,289,155","$33,558,520","$24,327,348"
11721,80'S,,1,$23,$18
,OTHER,,"5,621,626","$228,025,838","$163,320,405"
,TOTAL,,"5,621,627","$228,025,860","$163,320,423"
11730,OTHER,,"744,987","$48,366,556","$35,471,343"
,TOTAL,,"744,987","$48,366,556","$35,471,343"
11732,OTHER,,"109,367","$3,714,791","$2,854,797"
,TOTAL,,"109,367","$3,714,791","$2,854,797"
11740,OTHER,,"21,717","$668,455","$499,086"
,TOTAL,,"21,717","$668,455","$499,086"
11750,SG,,3,$585,$428
,OTHER,,"232,843","$29,079,041","$21,942,158"
,TOTAL,,"232,846","$29,079,626","$21,942,586"
11752,SG,,9,"$2,433","$1,947"
,80'S,,1,$14,$11
,OTHER,,"2,612","$370,731","$286,129"
,TOTAL,,"2,622","$373,178","$288,087"
11755,OTHER,,"4,406","$366,724","$281,483"
,TOTAL,,"4,406","$366,724","$281,483"
11760,OTHER,,"4,739","$355,110","$269,670"
,TOTAL,,"4,739","$355,110","$269,670"
11762,OTHER,,771,"$123,683","$95,263"
,TOTAL,,771,"$123,683","$95,263"
11765,OTHER,,"73,064","$3,433,090","$2,532,995"
,TOTAL,,"73,064","$3,433,090","$2,532,995"
11770,SG,,37,"$17,154","$13,678"
,OTHER,,507,"$86,985","$67,310"
,TOTAL,,544,"$104,138","$80,989"
11771,SG,,27,"$13,048","$10,391"
,80'S,,1,$66,$53
,OTHER,,519,"$187,232","$144,598"
,TOTAL,,547,"$200,346","$155,042"
11772,SG,,13,"$6,417","$5,133"
,OTHER,,360,"$157,930","$125,246"
,TOTAL,,373,"$164,346","$130,380"
11900,OTHER,,"96,014","$3,122,603","$2,247,140"
,TOTAL,,"96,014","$3,122,603","$2,247,140"
11901,OTHER,,"50,676","$2,654,925","$1,949,286"
,TOTAL,,"50,676","$2,654,925","$1,949,286"
11920,OTHER,,94,"$9,867","$7,789"
,TOTAL,,94,"$9,867","$7,789"
11921,OTHER,,122,"$14,998","$11,335"
,TOTAL,,122,"$14,998","$11,335"
11922,OTHER,,2,$69,$55
,TOTAL,,2,$69,$55
11950,OTHER,,24,"$1,467","$1,121"
,TOTAL,,24,"$1,467","$1,121"
11951,OTHER,,16,"$1,421",$963
,TOTAL,,16,"$1,421",$963
11952,80'S,,1,$18,$15
,OTHER,,88,"$2,062","$1,650"
,TOTAL,,89,"$2,080","$1,664"
11954,OTHER,,112,"$6,912","$5,529"
,TOTAL,,112,"$6,912","$5,529"
11960,SG,,7,"$2,459","$1,967"
,OTHER,,293,"$161,679","$128,803"
,TOTAL,,300,"$164,138","$130,771"
11970,SG,,75,"$29,154","$22,502"
,80'S,,1,$46,$37
,OTHER,,826,"$289,838","$227,443"
,TOTAL,,902,"$319,038","$249,981"
11971,SG,,32,"$7,521","$5,964"
,OTHER,,306,"$41,875","$32,928"
,TOTAL,,338,"$49,397","$38,893"
11976,OTHER,,20,"$2,157","$1,339"
,TOTAL,,20,"$2,157","$1,339"
11980,OTHER,,"1,243","$122,003","$89,931"
,TOTAL,,"1,243","$122,003","$89,931"
12001,OTHER,,"151,897","$14,005,416","$10,425,912"
,TOTAL,,"151,897","$14,005,416","$10,425,912"
12002,OTHER,,"112,042","$11,611,875","$8,707,391"
,TOTAL,,"112,042","$11,611,875","$8,707,391"
12004,OTHER,,"15,164","$1,904,833","$1,459,955"
,TOTAL,,"15,164","$1,904,833","$1,459,955"
12005,SG,,4,"$1,650","$1,320"
,OTHER,,"4,021","$625,171","$484,975"
,TOTAL,,"4,025","$626,821","$486,295"
12006,SG,,1,$207,$166
,80'S,,1,$32,$26
,OTHER,,749,"$149,089","$116,292"
,TOTAL,,751,"$149,328","$116,484"
12007,OTHER,,298,"$61,740","$48,818"
,TOTAL,,298,"$61,740","$48,818"
12011,OTHER,,"72,988","$7,038,719","$5,378,439"
,TOTAL,,"72,988","$7,038,719","$5,378,439"
12013,OTHER,,"41,133","$4,633,707","$3,559,353"
,TOTAL,,"41,133","$4,633,707","$3,559,353"
12014,OTHER,,"5,397","$721,628","$556,782"
,TOTAL,,"5,397","$721,628","$556,782"
12015,80'S,,1,$30,$24
,OTHER,,"2,472","$425,511","$330,872"
,TOTAL,,"2,473","$425,541","$330,896"
12016,SG,,4,"$1,410","$1,128"
,OTHER,,357,"$77,280","$60,319"
,TOTAL,,361,"$78,690","$61,447"
12017,OTHER,,68,"$18,324","$14,429"
,TOTAL,,68,"$18,324","$14,429"
12018,OTHER,,26,"$7,886","$6,145"
,TOTAL,,26,"$7,886","$6,145"
12020,SG,,99,"$28,594","$22,832"
,OTHER,,"3,820","$549,810","$429,611"
,TOTAL,,"3,919","$578,403","$452,443"
12021,SG,,38,"$12,159","$9,727"
,OTHER,,"2,624","$259,820","$203,999"
,TOTAL,,"2,662","$271,979","$213,726"
12031,80'S,,4,$47,$38
,OTHER,,"34,106","$3,494,841","$2,723,192"
,TOTAL,,"34,110","$3,494,888","$2,723,230"
12032,OTHER,,"83,009","$10,834,015","$8,481,669"
,TOTAL,,"83,009","$10,834,015","$8,481,669"
12034,SG,,222,"$72,898","$58,179"
,OTHER,,"12,003","$1,834,202","$1,434,719"
,TOTAL,,"12,225","$1,907,100","$1,492,898"
12035,SG,,43,"$14,900","$11,920"
,OTHER,,"3,261","$583,749","$457,620"
,TOTAL,,"3,304","$598,649","$469,540"
12036,SG,,11,"$3,585","$2,868"
,OTHER,,817,"$179,838","$142,278"
,TOTAL,,828,"$183,423","$145,146"
12037,SG,,6,"$1,958","$1,567"
,80'S,,5,$314,$251
,OTHER,,424,"$104,993","$82,955"
,TOTAL,,435,"$107,265","$84,773"
12041,OTHER,,"13,598","$1,670,861","$1,289,046"
,TOTAL,,"13,598","$1,670,861","$1,289,046"
12042,OTHER,,"23,333","$3,087,632","$2,404,974"
,TOTAL,,"23,333","$3,087,632","$2,404,974"
12044,SG,,34,"$10,388","$7,989"
,80'S,,1,$24,$20
,OTHER,,"1,877","$296,896","$230,845"
,TOTAL,,"1,912","$307,308","$238,854"
12045,SG,,4,"$1,084",$867
,OTHER,,422,"$77,994","$60,644"
,TOTAL,,426,"$79,078","$61,511"
12046,SG,,2,$804,$643
,OTHER,,110,"$24,906","$19,760"
,TOTAL,,112,"$25,711","$20,403"
12047,80'S,,1,$20,$16
,OTHER,,57,"$13,782","$10,877"
,TOTAL,,58,"$13,802","$10,893"
12051,SG,,1,$186,$149
,OTHER,,"53,332","$6,153,074","$4,831,890"
,TOTAL,,"53,333","$6,153,260","$4,832,039"
12052,OTHER,,"56,141","$7,642,915","$6,016,178"
,TOTAL,,"56,141","$7,642,915","$6,016,178"
12053,OTHER,,"7,682","$1,184,101","$931,670"
,TOTAL,,"7,682","$1,184,101","$931,670"
12054,SG,,88,"$28,308","$22,640"
,OTHER,,"2,717","$537,685","$423,194"
,TOTAL,,"2,805","$565,993","$445,834"
12055,SG,,4,"$1,445","$1,156"
,OTHER,,398,"$97,898","$77,252"
,TOTAL,,402,"$99,343","$78,408"
12056,SG,,1,$198,$158
,OTHER,,79,"$22,333","$17,735"
,TOTAL,,80,"$22,531","$17,893"
12057,SG,,1,$209,$168
,80'S,,1,$34,$28
,OTHER,,51,"$16,194","$12,866"
,TOTAL,,53,"$16,438","$13,061"
13100,SG,,100,"$37,116","$29,474"
,OTHER,,"2,657","$462,428","$362,296"
,TOTAL,,"2,757","$499,544","$391,770"
13101,SG,,571,"$261,900","$207,963"
,80'S,,6,$127,$102
,OTHER,,"18,416","$4,117,932","$3,248,189"
,TOTAL,,"18,993","$4,379,960","$3,456,254"
13102,80'S,,2,$23,$18
,OTHER,,"4,936","$342,396","$273,021"
,TOTAL,,"4,938","$342,419","$273,039"
13120,SG,,182,"$69,136","$54,838"
,OTHER,,"3,985","$738,742","$580,173"
,TOTAL,,"4,167","$807,877","$635,011"
13121,SG,,753,"$344,903","$273,991"
,80'S,,2,$41,$33
,OTHER,,"26,192","$6,712,021","$5,295,120"
,TOTAL,,"26,947","$7,056,965","$5,569,144"
13122,80'S,,3,$40,$32
,OTHER,,"6,192","$452,725","$359,839"
,TOTAL,,"6,195","$452,765","$359,871"
13131,SG,,835,"$317,127","$252,001"
,80'S,,1,$17,$14
,OTHER,,"16,931","$3,708,244","$2,921,100"
,TOTAL,,"17,767","$4,025,389","$3,173,114"
13132,SG,,"2,489","$1,138,497","$906,461"
,80'S,,1,$55,$44
,OTHER,,"65,107","$23,440,233","$18,552,736"
,TOTAL,,"67,597","$24,578,785","$19,459,241"
13133,OTHER,,"4,248","$510,622","$405,960"
,TOTAL,,"4,248","$510,622","$405,960"
13150,SG,,189,"$86,543","$69,093"
,OTHER,,"2,235","$523,377","$411,228"
,TOTAL,,"2,424","$609,920","$480,321"
13151,SG,,758,"$352,236","$280,569"
,OTHER,,"15,397","$4,227,200","$3,339,148"
,TOTAL,,"16,155","$4,579,436","$3,619,717"
13152,SG,,766,"$350,539","$277,786"
,80'S,,1,$61,$49
,OTHER,,"19,517","$7,692,778","$6,087,354"
,TOTAL,,"20,284","$8,043,377","$6,365,189"
13153,OTHER,,700,"$90,986","$71,940"
,TOTAL,,700,"$90,986","$71,940"
13160,SG,,216,"$108,104","$85,530"
,80'S,,16,"$1,343","$1,075"
,OTHER,,"10,268","$4,927,245","$3,908,614"
,TOTAL,,"10,500","$5,036,692","$3,995,218"
13300,SG,,33,"$18,888","$14,915"
,OTHER,,768,"$242,733","$188,433"
,TOTAL,,801,"$261,622","$203,348"
14000,SG,,513,"$201,302","$159,283"
,OTHER,,"7,207","$2,497,279","$1,973,420"
,TOTAL,,"7,720","$2,698,581","$2,132,703"
14001,SG,,250,"$117,797","$93,413"
,80'S,,5,$364,$291
,OTHER,,"4,854","$2,408,081","$1,910,037"
,TOTAL,,"5,109","$2,526,242","$2,003,741"
14020,SG,,"1,146","$529,918","$421,504"
,OTHER,,"13,061","$5,592,430","$4,429,292"
,TOTAL,,"14,207","$6,122,348","$4,850,796"
14021,SG,,296,"$141,786","$112,778"
,80'S,,1,$56,$45
,OTHER,,"6,737","$4,209,478","$3,335,197"
,TOTAL,,"7,034","$4,351,320","$3,448,021"
14040,SG,,"5,170","$1,784,004","$1,414,263"
,80'S,,9,$495,$396
,OTHER,,"63,750","$31,192,392","$24,711,527"
,TOTAL,,"68,929","$32,976,891","$26,126,186"
14041,SG,,834,"$381,780","$302,706"
,80'S,,3,$270,$216
,OTHER,,"16,306","$11,399,070","$9,046,612"
,TOTAL,,"17,143","$11,781,121","$9,349,534"
14060,SG,,"6,263","$2,896,340","$2,301,439"
,80'S,,3,$206,$165
,OTHER,,"73,287","$42,659,830","$33,828,463"
,TOTAL,,"79,553","$45,556,376","$36,130,067"
14061,SG,,424,"$195,804","$155,307"
,80'S,,1,$61,$49
,OTHER,,"8,494","$6,684,659","$5,301,332"
,TOTAL,,"8,919","$6,880,524","$5,456,688"
14300,SG,,378,"$226,354","$180,643"
,80'S,,19,"$2,103","$1,682"
,OTHER,,"7,588","$5,768,706","$4,583,341"
,TOTAL,,"7,985","$5,997,163","$4,765,667"
14350,SG,,13,"$4,371","$3,497"
,80'S,,1,$84,$67
,OTHER,,290,"$135,629","$107,304"
,TOTAL,,304,"$140,084","$110,868"
15000,SG,,"1,196","$308,337","$245,265"
,80'S,,7,$360,$288
,OTHER,,"24,109","$5,619,802","$4,462,336"
,TOTAL,,"25,312","$5,928,499","$4,707,889"
15001,80'S,,360,"$3,341","$2,673"
,OTHER,,"22,369","$1,228,789","$979,417"
,TOTAL,,"22,729","$1,232,130","$982,089"
15050,SG,,37,"$11,682","$9,297"
,80'S,,1,$24,$19
,OTHER,,978,"$216,564","$170,741"
,TOTAL,,"1,016","$228,270","$180,058"
15100,SG,,540,"$203,181","$160,990"
,80'S,,17,"$1,417","$1,134"
,OTHER,,"25,768","$12,191,078","$9,684,034"
,TOTAL,,"26,325","$12,395,676","$9,846,158"
15101,SG,,32,"$13,467","$10,773"
,80'S,,11,$288,$230
,OTHER,,"21,884","$2,407,437","$1,917,146"
,TOTAL,,"21,927","$2,421,192","$1,928,149"
15120,SG,,633,"$220,217","$175,369"
,80'S,,6,$737,$590
,OTHER,,"10,238","$5,442,414","$4,321,028"
,TOTAL,,"10,877","$5,663,369","$4,496,986"
15121,SG,,7,"$3,146","$2,516"
,80'S,,8,$239,$191
,OTHER,,"1,658","$308,483","$245,143"
,TOTAL,,"1,673","$311,867","$247,851"
15200,SG,,71,"$31,378","$25,023"
,OTHER,,902,"$384,197","$305,373"
,TOTAL,,973,"$415,575","$330,396"
15201,SG,,5,"$1,472","$1,177"
,OTHER,,199,"$19,013","$15,136"
,TOTAL,,204,"$20,484","$16,313"
15220,SG,,360,"$129,199","$103,056"
,80'S,,5,$399,$319
,OTHER,,"4,450","$2,079,928","$1,653,971"
,TOTAL,,"4,815","$2,209,526","$1,757,346"
15221,SG,,60,"$15,460","$12,368"
,80'S,,50,$705,$564
,OTHER,,"1,133","$99,582","$79,185"
,TOTAL,,"1,243","$115,747","$92,117"
15240,SG,,965,"$431,279","$342,754"
,OTHER,,"10,984","$5,837,514","$4,636,278"
,TOTAL,,"11,949","$6,268,793","$4,979,032"
15241,SG,,45,"$15,414","$12,331"
,OTHER,,"1,110","$148,898","$118,610"
,TOTAL,,"1,155","$164,312","$130,941"
15260,SG,,"3,684","$1,296,088","$1,029,173"
,80'S,,2,$214,$171
,OTHER,,"38,540","$24,349,590","$19,345,829"
,TOTAL,,"42,226","$25,645,892","$20,375,173"
15261,SG,,33,"$8,176","$6,541"
,OTHER,,422,"$69,483","$55,519"
,TOTAL,,455,"$77,659","$62,059"
15350,SG,,64,"$21,948","$17,558"
,80'S,,1,$22,$17
,OTHER,,"3,635","$900,179","$714,423"
,TOTAL,,"3,700","$922,148","$731,998"
15351,OTHER,,"5,503","$297,432","$237,818"
,TOTAL,,"5,503","$297,432","$237,818"
15400,SG,,46,"$15,252","$12,181"
,80'S,,1,$22,$18
,OTHER,,"7,306","$1,666,420","$1,324,894"
,TOTAL,,"7,353","$1,681,694","$1,337,093"
15401,80'S,,29,$244,$195
,OTHER,,"2,103","$111,870","$89,401"
,TOTAL,,"2,132","$112,113","$89,596"
15570,SG,,17,"$7,356","$5,884"
,80'S,,1,$49,$39
,OTHER,,413,"$190,839","$150,950"
,TOTAL,,431,"$198,243","$156,873"
15572,SG,,19,"$9,008","$7,112"
,OTHER,,504,"$238,688","$189,767"
,TOTAL,,523,"$247,696","$196,880"
15574,SG,,130,"$56,184","$44,746"
,80'S,,1,$108,$86
,OTHER,,"2,008","$1,008,996","$802,608"
,TOTAL,,"2,139","$1,065,288","$847,440"
15576,SG,,289,"$117,916","$94,240"
,80'S,,2,$120,$96
,OTHER,,"2,694","$1,129,589","$897,655"
,TOTAL,,"2,985","$1,247,626","$991,991"
15580,OTHER,,6,"$2,787","$2,230"
,TOTAL,,6,"$2,787","$2,230"
15600,SG,,8,"$3,528","$2,823"
,OTHER,,211,"$26,151","$20,715"
,TOTAL,,219,"$29,679","$23,538"
15610,SG,,7,"$3,161","$2,529"
,OTHER,,179,"$22,596","$17,706"
,TOTAL,,186,"$25,757","$20,235"
15620,SG,,62,"$36,489","$28,208"
,OTHER,,735,"$155,156","$122,372"
,TOTAL,,797,"$191,645","$150,580"
15625,OTHER,,4,$355,$225
,TOTAL,,4,$355,$225
15630,SG,,207,"$96,250","$76,617"
,80'S,,2,$55,$44
,OTHER,,"1,911","$460,146","$362,910"
,TOTAL,,"2,120","$556,451","$439,571"
15650,SG,,24,"$15,522","$12,417"
,80'S,,1,$51,$41
,OTHER,,132,"$34,238","$26,832"
,TOTAL,,157,"$49,811","$39,290"
15732,SG,,722,"$295,196","$234,891"
,80'S,,300,"$47,831","$37,908"
,OTHER,,"6,879","$7,344,404","$5,845,717"
,TOTAL,,"7,901","$7,687,431","$6,118,516"
15734,SG,,37,"$16,557","$13,166"
,80'S,,968,"$160,389","$128,131"
,OTHER,,"12,324","$12,642,976","$10,045,266"
,TOTAL,,"13,329","$12,819,922","$10,186,562"
15736,SG,,38,"$17,670","$14,136"
,80'S,,1,$192,$154
