HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,OTHER,,"11,659","$185,062.95 ","$139,164.16 "
,TOTAL,,"11,680","$185,125.94 ","$139,214.53 "
1123F,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
11300,SG,,21,$324.63 ,$259.72 
,OTHER,,"88,082","$3,365,068.87 ","$2,497,686.58 "
,TOTAL,,"88,103","$3,365,393.50 ","$2,497,946.30 "
11301,SG,,70,"$1,168.72 ",$934.91 
,OTHER,,"175,883","$10,055,740.81 ","$7,541,614.87 "
,TOTAL,,"175,953","$10,056,909.53 ","$7,542,549.78 "
11302,SG,,62,"$1,081.42 ",$837.66 
,OTHER,,"109,538","$8,523,660.85 ","$6,429,689.00 "
,TOTAL,,"109,600","$8,524,742.27 ","$6,430,526.66 "
11303,SG,,10,$397.29 ,$317.84 
,OTHER,,"17,690","$1,772,723.91 ","$1,346,582.99 "
,TOTAL,,"17,700","$1,773,121.20 ","$1,346,900.83 "
11305,SG,,24,$360.30 ,$288.21 
,OTHER,,"104,599","$5,137,527.14 ","$3,829,428.75 "
,TOTAL,,"104,623","$5,137,887.44 ","$3,829,716.96 "
11306,SG,,29,$499.05 ,$399.22 
,OTHER,,"103,457","$6,648,694.89 ","$5,007,368.54 "
,TOTAL,,"103,486","$6,649,193.94 ","$5,007,767.76 "
11307,SG,,19,$369.73 ,$295.75 
,OTHER,,"46,293","$3,721,839.05 ","$2,821,718.52 "
,TOTAL,,"46,312","$3,722,208.78 ","$2,822,014.27 "
11308,SG,,8,$134.59 ,$107.65 
,OTHER,,"10,889","$1,031,455.76 ","$787,582.23 "
,TOTAL,,"10,897","$1,031,590.35 ","$787,689.88 "
11310,SG,,102,"$1,734.89 ","$1,377.85 "
,OTHER,,"92,263","$4,763,152.96 ","$3,532,112.80 "
,TOTAL,,"92,365","$4,764,887.85 ","$3,533,490.65 "
11311,SG,,115,"$2,163.13 ","$1,730.38 "
,80'S,,1,$7.28 ,$5.82 
,OTHER,,"129,105","$9,129,804.65 ","$6,847,673.93 "
,TOTAL,,"129,221","$9,131,975.06 ","$6,849,410.13 "
11312,SG,,32,$491.86 ,$393.43 
,OTHER,,"55,901","$4,970,312.58 ","$3,752,546.54 "
,TOTAL,,"55,933","$4,970,804.44 ","$3,752,939.97 "
11313,SG,,18,$286.91 ,$229.52 
,OTHER,,"7,848","$924,456.65 ","$705,119.60 "
,TOTAL,,"7,866","$924,743.56 ","$705,349.12 "
11400,SG,,129,"$5,822.22 ","$4,360.80 "
,OTHER,,"50,653","$4,126,112.27 ","$3,084,899.71 "
,TOTAL,,"50,782","$4,131,934.49 ","$3,089,260.51 "
11401,SG,,284,"$13,279.23 ","$10,302.73 "
,OTHER,,"98,862","$9,368,215.99 ","$7,082,429.80 "
,TOTAL,,"99,146","$9,381,495.22 ","$7,092,732.53 "
11402,SG,,509,"$30,487.24 ","$23,560.72 "
,80'S,,1,$14.95 ,$11.96 
,OTHER,,"122,611","$12,153,969.46 ","$9,225,269.65 "
,TOTAL,,"123,121","$12,184,471.65 ","$9,248,842.33 "
11403,SG,,379,"$25,856.43 ","$19,833.69 "
,OTHER,,"54,797","$6,221,179.32 ","$4,740,842.92 "
,TOTAL,,"55,176","$6,247,035.75 ","$4,760,676.61 "
11404,SG,,360,"$124,805.68 ","$97,784.46 "
,80'S,,1,$21.02 ,$16.82 
,OTHER,,"24,074","$3,380,654.92 ","$2,599,719.00 "
,TOTAL,,"24,435","$3,505,481.62 ","$2,697,520.28 "
11406,SG,,510,"$232,258.45 ","$183,499.43 "
,80'S,,1,$30.72 ,$24.58 
,OTHER,,"23,596","$4,677,454.62 ","$3,640,202.07 "
,TOTAL,,"24,107","$4,909,743.79 ","$3,823,726.08 "
11420,SG,,123,"$5,195.09 ","$4,061.10 "
,OTHER,,"31,755","$2,631,782.84 ","$1,979,301.25 "
,TOTAL,,"31,878","$2,636,977.93 ","$1,983,362.35 "
11421,SG,,249,"$12,775.65 ","$9,877.23 "
,OTHER,,"43,613","$4,566,671.15 ","$3,453,900.83 "
,TOTAL,,"43,862","$4,579,446.80 ","$3,463,778.06 "
11422,SG,,336,"$19,940.01 ","$15,578.67 "
,OTHER,,"47,928","$5,394,201.03 ","$4,093,181.06 "
,TOTAL,,"48,264","$5,414,141.04 ","$4,108,759.73 "
11423,SG,,233,"$17,646.20 ","$13,508.56 "
,OTHER,,"19,674","$2,477,333.09 ","$1,889,746.56 "
,TOTAL,,"19,907","$2,494,979.29 ","$1,903,255.12 "
11424,SG,,166,"$74,906.72 ","$58,679.41 "
,OTHER,,"7,024","$1,163,766.48 ","$894,419.07 "
,TOTAL,,"7,190","$1,238,673.20 ","$953,098.48 "
11426,SG,,174,"$89,906.34 ","$71,000.96 "
,OTHER,,"5,582","$1,371,579.80 ","$1,072,704.61 "
,TOTAL,,"5,756","$1,461,486.14 ","$1,143,705.57 "
11440,SG,,545,"$28,472.21 ","$22,085.33 "
,OTHER,,"57,893","$5,225,737.44 ","$3,917,984.94 "
,TOTAL,,"58,438","$5,254,209.65 ","$3,940,070.27 "
11441,SG,,571,"$33,872.71 ","$26,743.15 "
,OTHER,,"66,078","$7,304,946.64 ","$5,541,681.96 "
,TOTAL,,"66,649","$7,338,819.35 ","$5,568,425.11 "
11442,SG,,515,"$33,533.42 ","$26,305.57 "
,OTHER,,"54,157","$6,324,808.78 ","$4,835,467.63 "
,TOTAL,,"54,672","$6,358,342.20 ","$4,861,773.20 "
11443,SG,,203,"$16,023.57 ","$12,576.10 "
,OTHER,,"16,230","$2,214,438.72 ","$1,704,013.86 "
,TOTAL,,"16,433","$2,230,462.29 ","$1,716,589.96 "
11444,SG,,189,"$54,527.20 ","$42,440.11 "
,OTHER,,"5,404","$1,007,519.52 ","$784,486.30 "
,TOTAL,,"5,593","$1,062,046.72 ","$826,926.41 "
11446,SG,,63,"$31,062.29 ","$24,281.84 "
,OTHER,,"2,912","$830,569.64 ","$650,597.46 "
,TOTAL,,"2,975","$861,631.93 ","$674,879.30 "
11450,SG,,11,"$5,519.86 ","$4,415.90 "
,OTHER,,747,"$163,808.73 ","$127,819.93 "
,TOTAL,,758,"$169,328.59 ","$132,235.83 "
11451,SG,,2,"$1,104.35 ",$883.48 
,OTHER,,269,"$72,292.17 ","$56,804.45 "
,TOTAL,,271,"$73,396.52 ","$57,687.93 "
11462,SG,,14,"$3,115.27 ","$2,176.66 "
,OTHER,,421,"$87,450.67 ","$68,454.75 "
,TOTAL,,435,"$90,565.94 ","$70,631.41 "
11463,SG,,3,"$1,681.03 ","$1,344.82 "
,OTHER,,135,"$33,180.89 ","$26,163.79 "
,TOTAL,,138,"$34,861.92 ","$27,508.61 "
11470,SG,,18,"$8,081.77 ","$6,357.43 "
,OTHER,,492,"$110,749.08 ","$86,958.64 "
,TOTAL,,510,"$118,830.85 ","$93,316.07 "
11471,SG,,9,"$4,545.82 ","$3,636.66 "
,OTHER,,180,"$48,370.88 ","$38,078.25 "
,TOTAL,,189,"$52,916.70 ","$41,714.91 "
11600,SG,,15,"$1,222.42 ",$977.96 
,OTHER,,"7,763","$973,162.78 ","$745,969.53 "
,TOTAL,,"7,778","$974,385.20 ","$746,947.49 "
11601,SG,,95,"$7,870.67 ","$6,215.55 "
,OTHER,,"38,574","$5,279,138.79 ","$4,072,999.05 "
,TOTAL,,"38,669","$5,287,009.46 ","$4,079,214.60 "
11602,SG,,499,"$46,471.03 ","$36,490.97 "
,OTHER,,"151,409","$19,977,659.56 ","$15,523,350.05 "
,TOTAL,,"151,908","$20,024,130.59 ","$15,559,841.02 "
11603,SG,,385,"$38,710.46 ","$30,668.93 "
,OTHER,,"78,270","$11,472,406.63 ","$8,943,286.66 "
,TOTAL,,"78,655","$11,511,117.09 ","$8,973,955.59 "
11604,SG,,439,"$146,374.12 ","$115,247.97 "
,OTHER,,"30,347","$5,357,628.60 ","$4,188,687.57 "
,TOTAL,,"30,786","$5,504,002.72 ","$4,303,935.54 "
11606,SG,,550,"$233,270.75 ","$185,026.29 "
,OTHER,,"28,869","$7,910,090.46 ","$6,237,491.91 "
,TOTAL,,"29,419","$8,143,361.21 ","$6,422,518.20 "
11620,SG,,7,$542.55 ,$434.04 
,OTHER,,"4,116","$491,535.86 ","$376,662.11 "
,TOTAL,,"4,123","$492,078.41 ","$377,096.15 "
11621,SG,,77,"$6,387.25 ","$5,103.62 "
,OTHER,,"19,871","$2,711,321.92 ","$2,092,797.60 "
,TOTAL,,"19,948","$2,717,709.17 ","$2,097,901.22 "
11622,SG,,225,"$22,290.83 ","$17,543.79 "
,OTHER,,"58,755","$8,382,659.40 ","$6,510,519.66 "
,TOTAL,,"58,980","$8,404,950.23 ","$6,528,063.45 "
11623,SG,,224,"$23,014.06 ","$18,309.46 "
,OTHER,,"25,774","$4,679,000.67 ","$3,652,022.89 "
,TOTAL,,"25,998","$4,702,014.73 ","$3,670,332.35 "
11624,SG,,242,"$96,297.66 ","$75,758.84 "
,OTHER,,"10,036","$2,163,016.75 ","$1,697,714.35 "
,TOTAL,,"10,278","$2,259,314.41 ","$1,773,473.19 "
11626,SG,,201,"$100,046.66 ","$79,659.34 "
,80'S,,1,$21.44 ,$17.15 
,OTHER,,"8,602","$2,077,491.75 ","$1,639,927.27 "
,TOTAL,,"8,804","$2,177,559.85 ","$1,719,603.76 "
11640,SG,,105,"$7,670.06 ","$6,136.01 "
,OTHER,,"19,394","$2,504,394.95 ","$1,916,141.74 "
,TOTAL,,"19,499","$2,512,065.01 ","$1,922,277.75 "
11641,SG,,425,"$35,496.14 ","$27,937.87 "
,OTHER,,"74,389","$10,613,487.80 ","$8,198,955.10 "
,TOTAL,,"74,814","$10,648,983.94 ","$8,226,892.97 "
11642,SG,,"1,052","$103,031.32 ","$81,215.69 "
,OTHER,,"144,623","$22,454,085.07 ","$17,458,136.48 "
,TOTAL,,"145,675","$22,557,116.39 ","$17,539,352.17 "
11643,SG,,631,"$68,160.42 ","$53,916.95 "
,OTHER,,"51,319","$9,864,236.98 ","$7,714,395.67 "
,TOTAL,,"51,950","$9,932,397.40 ","$7,768,312.62 "
11644,SG,,393,"$163,524.32 ","$129,743.90 "
,OTHER,,"17,702","$4,437,102.30 ","$3,497,678.83 "
,TOTAL,,"18,095","$4,600,626.62 ","$3,627,422.73 "
11646,SG,,312,"$160,080.00 ","$126,988.07 "
,OTHER,,"12,091","$3,787,997.79 ","$2,998,435.39 "
,TOTAL,,"12,403","$3,948,077.79 ","$3,125,423.46 "
11719,OTHER,,"1,453,573","$19,745,002.17 ","$14,562,839.94 "
,TOTAL,,"1,453,573","$19,745,002.17 ","$14,562,839.94 "
11720,SG,,9,$75.11 ,$60.06 
,OTHER,,"2,069,069","$56,253,833.18 ","$41,154,161.16 "
,TOTAL,,"2,069,078","$56,253,908.29 ","$41,154,221.22 "
11721,SG,,1,$8.04 ,$6.43 
,OTHER,,"7,382,214","$288,969,170.71 ","$210,857,311.68 "
,TOTAL,,"7,382,215","$288,969,178.75 ","$210,857,318.11 "
11730,SG,,85,"$1,837.97 ","$1,443.68 "
,OTHER,,"645,003","$55,228,029.89 ","$41,457,864.38 "
,TOTAL,,"645,088","$55,229,867.86 ","$41,459,308.06 "
11732,SG,,26,$242.38 ,$193.93 
,OTHER,,"91,393","$3,689,382.62 ","$2,867,013.46 "
,TOTAL,,"91,419","$3,689,625.00 ","$2,867,207.39 "
11740,SG,,1,$11.77 ,$9.42 
,OTHER,,"29,541","$1,006,803.58 ","$770,545.72 "
,TOTAL,,"29,542","$1,006,815.35 ","$770,555.14 "
11750,SG,,757,"$52,298.39 ","$40,736.96 "
,OTHER,,"228,711","$37,704,399.37 ","$28,727,911.28 "
,TOTAL,,"229,468","$37,756,697.76 ","$28,768,648.24 "
11752,SG,,44,"$3,754.32 ","$3,003.43 "
,OTHER,,"1,974","$382,245.17 ","$297,298.45 "
,TOTAL,,"2,018","$385,999.49 ","$300,301.88 "
11755,SG,,20,"$1,050.31 ",$840.24 
,80'S,,1,$12.39 ,$9.91 
,OTHER,,"25,363","$2,766,457.23 ","$2,115,321.82 "
,TOTAL,,"25,384","$2,767,519.93 ","$2,116,171.97 "
11760,SG,,73,"$3,833.68 ","$3,063.52 "
,OTHER,,"4,287","$453,005.44 ","$348,759.13 "
,TOTAL,,"4,360","$456,839.12 ","$351,822.65 "
11762,SG,,9,$868.91 ,$695.13 
,OTHER,,564,"$102,523.36 ","$77,912.33 "
,TOTAL,,573,"$103,392.27 ","$78,607.46 "
11765,SG,,12,$401.83 ,$297.83 
,OTHER,,"70,374","$6,925,999.55 ","$5,296,960.09 "
,TOTAL,,"70,386","$6,926,401.38 ","$5,297,257.92 "
11770,SG,,14,"$7,843.40 ","$6,058.71 "
,OTHER,,562,"$111,307.99 ","$85,873.94 "
,TOTAL,,576,"$119,151.39 ","$91,932.65 "
11771,SG,,17,"$10,342.82 ","$7,786.66 "
,OTHER,,580,"$213,148.29 ","$166,624.33 "
,TOTAL,,597,"$223,491.11 ","$174,410.99 "
11772,SG,,10,"$6,262.45 ","$5,009.96 "
,OTHER,,501,"$232,487.57 ","$181,741.44 "
,TOTAL,,511,"$238,750.02 ","$186,751.40 "
11900,SG,,21,$324.67 ,$259.73 
,OTHER,,"136,837","$5,575,899.02 ","$4,083,890.56 "
,TOTAL,,"136,858","$5,576,223.69 ","$4,084,150.29 "
11901,SG,,3,$42.39 ,$33.91 
,OTHER,,"48,024","$2,653,754.87 ","$1,958,442.25 "
,TOTAL,,"48,027","$2,653,797.26 ","$1,958,476.16 "
11920,SG,,6,$323.97 ,$259.18 
,OTHER,,321,"$40,350.99 ","$31,094.37 "
,TOTAL,,327,"$40,674.96 ","$31,353.55 "
11921,SG,,1,$45.96 ,$36.77 
,OTHER,,614,"$108,221.67 ","$83,516.52 "
,TOTAL,,615,"$108,267.63 ","$83,553.29 "
11922,OTHER,,152,"$8,200.15 ","$6,461.03 "
,TOTAL,,152,"$8,200.15 ","$6,461.03 "
11950,OTHER,,12,$569.04 ,$430.32 
,TOTAL,,12,$569.04 ,$430.32 
11951,OTHER,,54,$993.18 ,$794.54 
,TOTAL,,54,$993.18 ,$794.54 
11952,SG,,1,$23.75 ,$19.00 
,OTHER,,19,"$2,422.21 ","$1,799.19 "
,TOTAL,,20,"$2,445.96 ","$1,818.19 "
11954,OTHER,,37,"$3,955.51 ","$3,064.96 "
,TOTAL,,37,"$3,955.51 ","$3,064.96 "
11960,SG,,8,"$3,925.41 ","$3,140.34 "
,OTHER,,483,"$344,053.35 ","$272,667.42 "
,TOTAL,,491,"$347,978.76 ","$275,807.76 "
11970,SG,,66,"$42,912.36 ","$33,182.74 "
,80'S,,1,$40.05 ,$32.04 
,OTHER,,"2,044","$743,586.78 ","$589,536.16 "
,TOTAL,,"2,111","$786,539.19 ","$622,750.94 "
11971,SG,,14,"$5,739.23 ","$4,483.38 "
,80'S,,2,$65.86 ,$52.68 
,OTHER,,489,"$109,331.09 ","$85,424.45 "
,TOTAL,,505,"$115,136.18 ","$89,960.51 "
11976,OTHER,,7,$751.53 ,$501.70 
,TOTAL,,7,$751.53 ,$501.70 
11980,OTHER,,"5,070","$403,361.43 ","$300,079.95 "
,TOTAL,,"5,070","$403,361.43 ","$300,079.95 "
11981,SG,,22,$537.38 ,$410.74 
,80'S,,40,$278.20 ,$222.55 
,OTHER,,"14,441","$996,637.35 ","$781,212.99 "
,TOTAL,,"14,503","$997,452.93 ","$781,846.28 "
11982,SG,,2,$51.37 ,$41.09 
,80'S,,10,$96.19 ,$75.77 
,OTHER,,"4,269","$477,202.90 ","$365,488.11 "
,TOTAL,,"4,281","$477,350.46 ","$365,604.97 "
11983,80'S,,2,$55.52 ,$44.42 
,OTHER,,"9,107","$1,842,063.87 ","$1,433,917.71 "
,TOTAL,,"9,109","$1,842,119.39 ","$1,433,962.13 "
12001,SG,,20,$748.04 ,$559.30 
,OTHER,,"172,122","$16,252,610.35 ","$12,245,763.33 "
,TOTAL,,"172,142","$16,253,358.39 ","$12,246,322.63 "
12002,SG,,14,$519.62 ,$373.99 
,OTHER,,"132,790","$13,809,897.47 ","$10,479,280.49 "
,TOTAL,,"132,804","$13,810,417.09 ","$10,479,654.48 "
12004,SG,,5,$248.68 ,$198.94 
,OTHER,,"19,703","$2,376,887.92 ","$1,828,410.90 "
,TOTAL,,"19,708","$2,377,136.60 ","$1,828,609.84 "
12005,SG,,2,$127.42 ,$101.94 
,OTHER,,"5,231","$766,894.90 ","$596,287.36 "
,TOTAL,,"5,233","$767,022.32 ","$596,389.30 "
12006,OTHER,,"1,015","$187,043.79 ","$146,728.73 "
,TOTAL,,"1,015","$187,043.79 ","$146,728.73 "
12007,OTHER,,372,"$76,474.78 ","$59,774.66 "
,TOTAL,,372,"$76,474.78 ","$59,774.66 "
12011,SG,,13,$499.18 ,$399.33 
,OTHER,,"85,964","$8,060,240.40 ","$6,203,297.85 "
,TOTAL,,"85,977","$8,060,739.58 ","$6,203,697.18 "
12013,SG,,7,$364.98 ,$291.99 
,80'S,,1,$8.04 ,$6.43 
,OTHER,,"47,909","$5,154,839.31 ","$3,987,352.16 "
,TOTAL,,"47,917","$5,155,212.33 ","$3,987,650.58 "
12014,SG,,1,$25.20 ,$20.16 
,OTHER,,"6,163","$786,332.30 ","$611,532.13 "
,TOTAL,,"6,164","$786,357.50 ","$611,552.29 "
12015,OTHER,,"3,073","$490,155.27 ","$382,225.06 "
,TOTAL,,"3,073","$490,155.27 ","$382,225.06 "
12016,SG,,1,$52.55 ,$42.04 
,OTHER,,565,"$99,918.86 ","$78,599.26 "
,TOTAL,,566,"$99,971.41 ","$78,641.30 "
12017,SG,,1,$85.49 ,$68.39 
,OTHER,,64,"$14,273.56 ","$11,190.57 "
,TOTAL,,65,"$14,359.05 ","$11,258.96 "
12018,OTHER,,38,"$9,633.31 ","$7,455.78 "
,TOTAL,,38,"$9,633.31 ","$7,455.78 "
12020,SG,,124,"$13,495.13 ","$10,706.66 "
,80'S,,1,$16.01 ,$12.81 
,OTHER,,"4,910","$884,698.02 ","$693,939.64 "
,TOTAL,,"5,035","$898,209.16 ","$704,659.11 "
12021,SG,,49,"$3,076.36 ","$2,461.25 "
,OTHER,,"5,361","$656,731.23 ","$516,019.39 "
,TOTAL,,"5,410","$659,807.59 ","$518,480.64 "
12031,SG,,234,"$11,975.24 ","$9,503.53 "
,OTHER,,"53,397","$7,973,037.26 ","$6,207,357.95 "
,TOTAL,,"53,631","$7,985,012.50 ","$6,216,861.48 "
12032,SG,,771,"$35,958.10 ","$28,366.01 "
,80'S,,1,$27.19 ,$21.75 
,OTHER,,"172,758","$37,980,459.15 ","$29,825,538.65 "
,TOTAL,,"173,530","$38,016,444.44 ","$29,853,926.41 "
12034,SG,,162,"$7,946.66 ","$6,356.95 "
,OTHER,,"19,636","$3,215,478.35 ","$2,527,837.17 "
,TOTAL,,"19,798","$3,223,425.01 ","$2,534,194.12 "
12035,SG,,27,"$1,228.64 ",$954.59 
,OTHER,,"4,617","$862,549.04 ","$677,806.07 "
,TOTAL,,"4,644","$863,777.68 ","$678,760.66 "
12036,SG,,6,$395.92 ,$316.73 
,OTHER,,"1,088","$223,379.35 ","$177,223.86 "
,TOTAL,,"1,094","$223,775.27 ","$177,540.59 "
12037,SG,,3,$614.04 ,$491.23 
,80'S,,2,$61.59 ,$49.27 
,OTHER,,559,"$135,222.02 ","$107,241.42 "
,TOTAL,,564,"$135,897.65 ","$107,781.92 "
12041,SG,,110,"$5,987.46 ","$4,739.09 "
,OTHER,,"18,214","$2,735,125.87 ","$2,122,284.49 "
,TOTAL,,"18,324","$2,741,113.33 ","$2,127,023.58 "
12042,SG,,242,"$11,450.47 ","$9,007.54 "
,OTHER,,"39,488","$7,177,721.28 ","$5,616,929.12 "
,TOTAL,,"39,730","$7,189,171.75 ","$5,625,936.66 "
12044,SG,,11,$597.55 ,$478.04 
,OTHER,,"2,380","$402,124.63 ","$314,594.75 "
,TOTAL,,"2,391","$402,722.18 ","$315,072.79 "
12045,SG,,2,$89.08 ,$71.26 
,OTHER,,455,"$87,196.58 ","$68,916.17 "
,TOTAL,,457,"$87,285.66 ","$68,987.43 "
12046,OTHER,,100,"$22,419.50 ","$17,747.43 "
,TOTAL,,100,"$22,419.50 ","$17,747.43 "
12047,OTHER,,59,"$14,600.68 ","$11,557.34 "
,TOTAL,,59,"$14,600.68 ","$11,557.34 "
12051,SG,,364,"$16,139.78 ","$12,705.86 "
,OTHER,,"60,850","$9,626,424.57 ","$7,538,564.67 "
,TOTAL,,"61,214","$9,642,564.35 ","$7,551,270.53 "
12052,SG,,359,"$16,551.13 ","$13,130.22 "
,OTHER,,"74,988","$13,960,645.90 ","$10,979,045.05 "
,TOTAL,,"75,347","$13,977,197.03 ","$10,992,175.27 "
12053,SG,,53,"$2,459.71 ","$1,967.81 "
